beam,geometry,spectrum_variant,source_model,Dw_water_per_history,u_Dw_water_pct,Dcav_RW3_per_history,u_Dcav_RW3_pct,R_direct_RW3_to_water,u_R_direct_abs,u_R_direct_pct,R_Co,u_R_Co_pct,K_Qg_Co_RW3_to_water,u_K_abs,u_K_pct,K_idealized_stage8_F50,delta_vs_idealized_pct,finite_vs_hardware_point_pct,point_gate
Q120,F50_8x10_SSD50,hw_be0p8_a20,point,1.8402e-16,0.09,1.8307e-16,0.446,1.0051892718632216,0.004573511771573584,0.45499010978261933,1.12016676,0.0933,0.8973568112869387,0.004167842177716875,0.4644576299297924,0.8906909027841433,0.7483975060213366,-0.9473103657886561,true
Q120,F50_8x10_SSD50,hw_be0p8_a20,finite_7p5mm,1.8383e-16,0.09,1.8463e-16,0.431,0.9956670096950657,0.004383886905879974,0.44029649101486146,1.12016676,0.0933,0.888856057195507,0.004000502945849042,0.45007320515667226,0.8906909027841433,-0.20600250691916733,-0.9473103657886561,true
Q140,F50_8x10_SSD50,hw_be0p8_a20,point,1.8013e-16,0.09,1.7474e-16,0.433,1.0308458280874442,0.004558961564315588,0.4422544516452039,1.12016676,0.0933,0.9202610404967241,0.004159476983197598,0.45198881623332227,0.9056498634537564,1.6133361945473101,-0.3825573743746702,true
Q140,F50_8x10_SSD50,hw_be0p8_a20,finite_7p5mm,1.8017e-16,0.09,1.7545e-16,0.433,1.026902251353662,0.004541520920656392,0.4422544516452039,1.12016676,0.0933,0.9167405140228068,0.0041435645972629585,0.45198881623332227,0.9056498634537564,1.2246068835869206,-0.3825573743746702,true
Q150,F50_8x10_SSD50,hw_be0p8_a20,point,1.7972e-16,0.088,1.6951e-16,0.439,1.0602324346646215,0.004747012389516048,0.44773317947188146,1.12016676,0.0933,0.9464951760080985,0.004328804664008666,0.45735094839739865,0.9334683770309238,1.3955265435567243,-0.34151838932277023,true
Q150,F50_8x10_SSD50,hw_be0p8_a20,finite_7p5mm,1.7955e-16,0.088,1.6993e-16,0.438,1.0566115459306773,0.004720440906098683,0.446752728027485,1.12016676,0.0933,0.9432627209279779,0.004304967664320039,0.4563911589853598,0.9334683770309238,1.0492421744598301,-0.34151838932277023,true
Q200,F50_8x10_SSD50,hw_be0p8_a20,point,2.0229e-16,0.085,1.8871e-16,0.425,1.0719622701499656,0.00464606305333041,0.4334166586553867,1.12016676,0.0933,0.9569666842729431,0.004242665036169831,0.4433451138785675,0.9588695168619203,-0.1984454146800596,0.05194341582768214,true
Q200,F50_8x10_SSD50,hw_be0p8_a20,finite_7p5mm,2.0232e-16,0.085,1.8864e-16,0.425,1.0725190839694656,0.004648476377181819,0.4334166586553867,1.12016676,0.0933,0.9574637654570874,0.004244868821311745,0.4433451138785675,0.9588695168619203,-0.14660507817929602,0.05194341582768214,true
