beam,k_nominal_F50,k_tio2_1p6,shift_low_pct,k_tio2_2p4,shift_high_pct,endpoint_span_pct,max_abs_endpoint_shift_pct,u_rect_material_pct,span_z_conservative,u_Dcav_low_pct,u_Dcav_high_pct
Q120,0.8906909027841433,0.8804728341020479,-1.1472070333440665,0.9091801963653253,2.0758372543592474,3.2604483808469364,2.0758372543592474,1.1984851975981652,5.138867830197392,0.427,0.432
Q140,0.9056498634537564,0.90524186711928,-0.045050118256573235,0.9287240785894145,2.547807498988952,2.5940262291293648,2.547807498988952,1.4709773453846187,4.045263237628819,0.431,0.438
Q150,0.9334683770309238,0.9296162262160911,-0.41267073525138587,0.9498780836232241,1.757928495070682,2.179593775982891,1.757928495070682,1.014940489845172,3.3755499617093565,0.437,0.439
Q200,0.9588695168619203,0.9581056397174661,-0.0796643475489911,0.9682358893430748,0.9768140832975503,1.057320738514389,0.9768140832975503,0.5639638739400582,1.6827425009986088,0.425,0.427
