beam,depth_cm,Phi_water,Phi_RW3,Phi_RW3_over_water,Efluence_water,Efluence_RW3,Efluence_RW3_over_water,meanE_water_MeV,meanE_RW3_MeV,meanE_shift_pct,medianE_water_MeV,medianE_RW3_MeV,water_frac_lt20keV,rw3_frac_lt20keV,water_frac_lt30keV,rw3_frac_lt30keV,water_frac_lt50keV,rw3_frac_lt50keV
Q120,0.001,0.00049811703418,0.000504777385239,1.0133710566031218,2.688241822249e-05,2.71160577659495e-05,1.008691165412494,0.05396807653194158,0.05371884430422868,-0.4618141755809768,0.0515,0.0515,0.0009975550842544366,0.001167211242478774,0.06727428672493586,0.07088963151956061,0.4667786930088799,0.4736360221958062
Q120,1.0,0.00047389347789,0.00048636451374,1.0263161162409895,2.5400089505981e-05,2.5868423188970002e-05,1.018438269002112,0.05359873197469255,0.053187316216903736,-0.7675848711926059,0.0515,0.0505,0.0006259436009137349,0.001021868631365005,0.061797040804173455,0.06804076922785242,0.4746423934583262,0.48512259627175813
Q120,2.0,0.000414814728737,0.000428602999859,1.0332395890666217,2.22636255270775e-05,2.2723259174417502e-05,1.020645049333092,0.05367125124718761,0.053017032503022386,-1.2189370081054363,0.0515,0.0505,0.00032355079919328,0.0007002406868331159,0.05432002789680636,0.06362400699008404,0.473914386394991,0.4905795114083936
Q140,0.001,0.000499392244681,0.0005041486836900001,1.0095244550944886,3.05641209044345e-05,3.0738329721675e-05,1.0056997817076172,0.06120263426188795,0.06097076262639998,-0.3788589139738341,0.0575,0.0575,7.581571681031052e-05,0.0001244327160409173,0.022628008947592555,0.024459592752963475,0.33419442123617277,0.341036001981751
Q140,1.0,0.00048576484938,0.0004924909730700001,1.0138464602751411,2.928529876276e-05,2.9487923789895e-05,1.0069190015364522,0.060286986183001774,0.059875054371207215,-0.6832847980559831,0.0575,0.0565,3.4424639867094695e-05,0.00021883014287184076,0.022696634995454927,0.0263357859924805,0.3518536339098007,0.3617448371884734
Q140,2.0,0.000433595515184,0.00044247533092,1.020479491657638,2.5997733681284e-05,2.629902542952e-05,1.0115891543443614,0.05995849304449479,0.05943613935456865,-0.8711921587797544,0.0565,0.0565,2.8075899251019773e-05,0.00017923580018597434,0.021384590152103478,0.025260226365073486,0.35818244641689717,0.3704227005813208
Q150,0.001,0.000500681681495,0.000503021100863,1.0046724684654225,3.48766267848535e-05,3.49535681342445e-05,1.002206100660641,0.06965828404329547,0.0694872801047053,-0.24548973742144486,0.0635,0.0635,4.632751877548298e-06,3.823571211426833e-05,0.0022975048569087455,0.0028578732791400907,0.19125071304602195,0.1950366026289621
Q150,1.0,0.00049364769653,0.000498664955041,1.010163642099959,3.3596433459025e-05,3.37861960827895e-05,1.0056482966858948,0.0680575108426203,0.06775329956766588,-0.4469914799821173,0.0625,0.0615,1.3603527469497459e-05,8.4345231351864e-05,0.0036828018094266874,0.00442086017618532,0.2170466415282637,0.22223093265474922
Q150,2.0,0.00044591390798400004,0.00045199784138,1.013643739939635,3.0022655146164002e-05,3.023167554958e-05,1.0069620892089122,0.06732836677352808,0.06688455736266198,-0.6591715084355632,0.0615,0.0605,1.0655810269480298e-05,0.00013911148293988787,0.004286608131694752,0.005719788776217806,0.22910096849382328,0.23940086052098572
Q200,0.001,0.000489346029156,0.00049342379652,1.0083330958484187,4.2630901019016e-05,4.28528150118e-05,1.00520547273174,0.08711810963817095,0.08684788880072394,-0.3101775722284539,0.0785,0.0785,3.3800744288306226e-06,2.7600533448224135e-05,0.0004938462388604771,0.0006487989072635333,0.07887667702662657,0.08211459420027731
Q200,1.0,0.00048745711641500004,0.000493198954177,1.0117791649124508,4.11611017129435e-05,4.14968629446435e-05,1.008157245985338,0.08444045707171646,0.08413818114008215,-0.357975243286035,0.0765,0.0755,7.580726335840379e-06,4.8637140847203064e-05,0.0009458581062287106,0.001513027898133365,0.1011994237109511,0.10708498736606395
Q200,2.0,0.0004475835229,0.00045332817266,1.012834810635519,3.7182656268745e-05,3.746768515969e-05,1.0076656409075484,0.08307422942611858,0.08265024637635104,-0.5103665152195069,0.0745,0.0745,8.51043393045334e-06,8.249185083859158e-05,0.0015200552415152368,0.0018048773479023513,0.11568120815646765,0.12151116800612743
