config,beam,applicator,ssd_cm,field_cm,k_nominal,k_tio2_1p6,shift_low_pct,k_tio2_2p4,shift_high_pct,endpoint_span_pct,max_abs_endpoint_shift_pct,u_rect_material_pct,span_z_conservative,u_Dcav_low_pct,u_Dcav_high_pct
Q120_F40_4x15,Q120,F40,40,4x15,0.90476182629448,0.8818176215038772,-2.5359386441592524,0.9145258333730806,1.079179823334253,3.7091810224229693,2.5359386441592524,1.464124858853719,6.341472412792795,0.392,0.397
Q120_F40_6x8,Q120,F40,40,6x8,0.9023146313883275,0.879857320725988,-2.4888558692421903,0.9133091337218939,1.218477674095797,3.801958818539375,2.4888558692421903,1.4369416060811586,7.317131484577909,0.346,0.35
Q140_F40_4x15,Q140,F40,40,4x15,0.9271953478637445,0.9134886516893459,-1.4782964782964814,0.9365770792784375,1.0118397850365168,2.5275002099252486,1.4782964782964814,0.8534948696865493,4.26414914044733,0.398,0.403
Q140_F40_6x8,Q140,F40,40,6x8,0.9220610711514373,0.9151546572312683,-0.7490191416002934,0.9303451700542521,0.8984327786954349,1.6598847749889067,0.8984327786954349,0.5187104066285928,3.165955753769392,0.349,0.354
Q150_F40_4x15,Q150,F40,40,4x15,0.9481257386565459,0.9460217597204241,-0.22190927324713394,0.951585160350648,0.3648695054944806,0.5880837912087822,0.3648695054944806,0.21065750721632404,0.9858772622349273,0.403,0.404
Q150_F40_6x8,Q150,F40,40,6x8,0.9503851225404403,0.9344328116132117,-1.6785101690761972,0.9510962225198946,0.07482229704454113,1.7832647462277196,1.6785101690761972,0.9690882979536668,3.372879957029725,0.354,0.356
Q200_F40_4x15,Q200,F40,40,4x15,0.9675331336732528,0.9595727662796186,-0.8227488151658968,0.9656872600207929,-0.1907814407814734,0.6372100122099988,0.8227488151658968,0.4750142499114762,1.1034755464707056,0.389,0.391
Q200_F40_6x8,Q200,F40,40,6x8,0.961324246946627,0.9513727229914767,-1.035189114053714,0.9696028743342152,0.861169102296433,1.9161944527289032,1.035189114053714,0.597666713661082,3.73420823898176,0.343,0.345
